datetime,code,open,close,high,low,vol,amount,p_change
2019/12/4,2768.846191,2768.846191,2768.846191,2768.846191,2768.846191,2768.846191,2768.846191,2768.846191
2019/12/4,2769.419434,2769.419434,2769.419434,2769.419434,2769.419434,2769.419434,2769.419434,2769.419434
2019/12/4,2770.565918,2770.565918,2770.565918,2770.565918,2770.565918,2770.565918,2770.565918,2770.565918
2019/12/4,2769.992676,2769.992676,2769.992676,2769.992676,2769.992676,2769.992676,2769.992676,2769.992676
2019/12/4,2769.610352,2769.610352,2769.610352,2769.610352,2769.610352,2769.610352,2769.610352,2769.610352
2019/12/4,2774.57959,2774.57959,2774.57959,2774.57959,2774.57959,2774.57959,2774.57959,2774.57959
2019/12/5,2796.939697,2796.939697,2796.939697,2796.939697,2796.939697,2796.939697,2796.939697,2796.939697
2019/12/5,2795.219727,2795.219727,2795.219727,2795.219727,2795.219727,2795.219727,2795.219727,2795.219727
2019/12/5,2785.4729,2785.4729,2785.4729,2785.4729,2785.4729,2785.4729,2785.4729,2785.4729
2019/12/5,2781.841797,2781.841797,2781.841797,2781.841797,2781.841797,2781.841797,2781.841797,2781.841797
2019/12/5,2781.650635,2781.650635,2781.650635,2781.650635,2781.650635,2781.650635,2781.650635,2781.650635
2019/12/5,2786.237305,2786.237305,2786.237305,2786.237305,2786.237305,2786.237305,2786.237305,2786.237305
2019/12/5,2791.397461,2791.397461,2791.397461,2791.397461,2791.397461,2791.397461,2791.397461,2791.397461
2019/12/5,2790.824219,2790.824219,2790.824219,2790.824219,2790.824219,2790.824219,2790.824219,2790.824219
2019/12/6,2799.041748,2799.041748,2799.041748,2799.041748,2799.041748,2799.041748,2799.041748,2799.041748
2019/12/6,2799.997314,2799.997314,2799.997314,2799.997314,2799.997314,2799.997314,2799.997314,2799.997314
2019/12/6,2794.26416,2794.26416,2794.26416,2794.26416,2794.26416,2794.26416,2794.26416,2794.26416
2019/12/6,2794.455078,2794.455078,2794.455078,2794.455078,2794.455078,2794.455078,2794.455078,2794.455078
2019/12/6,2796.175293,2796.175293,2796.175293,2796.175293,2796.175293,2796.175293,2796.175293,2796.175293
2019/12/6,2795.410645,2795.410645,2795.410645,2795.410645,2795.410645,2795.410645,2795.410645,2795.410645
2019/12/6,2802.291016,2802.291016,2802.291016,2802.291016,2802.291016,2802.291016,2802.291016,2802.291016
2019/12/6,2806.877441,2806.877441,2806.877441,2806.877441,2806.877441,2806.877441,2806.877441,2806.877441
2019/12/9,2801.335449,2801.335449,2801.335449,2801.335449,2801.335449,2801.335449,2801.335449,2801.335449
2019/12/9,2805.730713,2805.730713,2805.730713,2805.730713,2805.730713,2805.730713,2805.730713,2805.730713
2019/12/9,2803.055176,2803.055176,2803.055176,2803.055176,2803.055176,2803.055176,2803.055176,2803.055176
